Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,ActualElapsedTime,CRSElapsedTime,ArrDelay,DepDelay,Origin,Dest,Distance
1987,10,27,2,1531,1505,1627,1608,PS,1453,56,63,19,26,BUR,OAK,325
1987,10,28,3,1550,1550,1706,1657,PS,1453,76,67,9,0,BUR,OAK,325
1987,10,29,4,1550,1550,1700,1657,PS,1453,70,67,3,0,BUR,OAK,325
1987,10,30,5,1556,1550,1706,1657,PS,1453,70,67,9,6,BUR,OAK,325
1987,10,1,4,1643,1635,1750,1732,PS,1454,67,57,18,8,OAK,BUR,325
1987,10,2,5,1635,1635,1737,1732,PS,1454,62,57,5,0,OAK,BUR,325
1987,10,3,6,1634,1635,1748,1732,PS,1454,74,57,16,-1,OAK,BUR,325
1987,10,4,7,1646,1635,1750,1732,PS,1454,64,57,18,11,OAK,BUR,325
1987,10,5,1,1634,1635,1736,1732,PS,1454,62,57,4,-1,OAK,BUR,325
1987,10,6,2,1634,1635,1735,1732,PS,1454,61,57,3,-1,OAK,BUR,325
1987,10,7,3,1634,1635,1730,1732,PS,1454,56,57,-2,-1,OAK,BUR,325
1987,10,8,4,1654,1635,1755,1732,PS,1454,61,57,23,19,OAK,BUR,325
1987,10,9,5,1731,1635,1831,1732,PS,1454,60,57,59,56,OAK,BUR,325
1987,10,10,6,1635,1635,1740,1732,PS,1454,65,57,8,0,OAK,BUR,325
1987,10,11,7,1634,1635,1740,1732,PS,1454,66,57,8,-1,OAK,BUR,325
1987,10,12,1,NA,1635,NA,1732,PS,1454,NA,57,NA,NA,OAK,BUR,325
1987,10,13,2,1656,1635,1758,1732,PS,1454,62,57,26,21,OAK,BUR,325
1987,10,14,3,1652,1635,1750,1732,PS,1454,58,57,18,17,OAK,BUR,325
1987,10,15,4,1701,1635,1805,1732,PS,1454,64,57,33,26,OAK,BUR,325
1987,10,16,5,1647,1635,1746,1732,PS,1454,59,57,14,12,OAK,BUR,325
1987,10,17,6,1634,1635,1743,1732,PS,1454,69,57,11,-1,OAK,BUR,325
1987,10,19,1,1635,1635,1735,1732,PS,1454,60,57,3,0,OAK,BUR,325
1987,10,20,2,1705,1635,1808,1732,PS,1454,63,57,36,30,OAK,BUR,325
1987,10,21,3,1638,1635,1742,1732,PS,1454,64,57,10,3,OAK,BUR,325
1987,10,22,4,1640,1635,1744,1732,PS,1454,64,57,12,5,OAK,BUR,325
1987,10,23,5,1743,1635,1845,1732,PS,1454,62,57,73,68,OAK,BUR,325
1987,10,24,6,1634,1635,1745,1732,PS,1454,71,57,13,-1,OAK,BUR,325
1987,10,25,7,1657,1635,1804,1732,PS,1454,67,57,32,22,OAK,BUR,325
1987,10,26,1,1634,1635,1736,1732,PS,1454,62,57,4,-1,OAK,BUR,325
1987,10,27,2,1644,1635,1746,1732,PS,1454,62,57,14,9,OAK,BUR,325
1987,10,31,6,721,700,828,809,PS,1455,67,69,19,21,BUR,OAK,325
1987,10,1,4,851,830,1008,937,PS,1457,77,67,31,21,LAX,SFO,337
1987,10,2,5,831,830,948,937,PS,1457,77,67,11,1,LAX,SFO,337
1987,10,5,1,833,830,932,937,PS,1457,59,67,-5,3,LAX,SFO,337
1987,10,6,2,NA,830,NA,937,PS,1457,NA,67,NA,NA,LAX,SFO,337
1987,10,8,4,843,830,952,937,PS,1457,69,67,15,13,LAX,SFO,337
1987,10,13,2,834,830,955,937,PS,1457,81,67,18,4,LAX,SFO,337
1987,10,15,4,836,830,946,937,PS,1457,70,67,9,6,LAX,SFO,337
1987,10,16,5,840,830,1000,937,PS,1457,80,67,23,10,LAX,SFO,337
1987,10,19,1,844,830,952,937,PS,1457,68,67,15,14,LAX,SFO,337
1987,10,20,2,852,830,957,937,PS,1457,65,67,20,22,LAX,SFO,337
1987,10,22,4,831,830,939,937,PS,1457,68,67,2,1,LAX,SFO,337
1987,10,23,5,840,830,948,937,PS,1457,68,67,11,10,LAX,SFO,337
1987,10,26,1,831,830,933,937,PS,1457,62,67,-4,1,LAX,SFO,337
1987,10,27,2,832,830,936,937,PS,1457,64,67,-1,2,LAX,SFO,337
1987,10,29,4,837,830,958,940,PS,1457,81,70,18,7,LAX,SFO,337
1987,10,30,5,832,830,948,940,PS,1457,76,70,8,2,LAX,SFO,337
1987,10,1,4,659,650,834,800,PS,1457,95,70,34,9,PHX,LAX,370
1987,10,2,5,657,650,814,800,PS,1457,77,70,14,7,PHX,LAX,370
1987,10,3,6,651,650,830,800,PS,1457,99,70,30,1,PHX,LAX,370
1987,10,5,1,652,650,808,800,PS,1457,76,70,8,2,PHX,LAX,370
1987,10,6,2,701,650,851,800,PS,1457,110,70,51,11,PHX,LAX,370
1987,10,7,3,653,650,808,800,PS,1457,75,70,8,3,PHX,LAX,370
1987,10,8,4,657,650,826,800,PS,1457,89,70,26,7,PHX,LAX,370
1987,10,9,5,655,650,812,800,PS,1457,77,70,12,5,PHX,LAX,370
1987,10,10,6,655,650,815,800,PS,1457,80,70,15,5,PHX,LAX,370
1987,10,12,1,654,650,811,800,PS,1457,77,70,11,4,PHX,LAX,370
1987,10,13,2,652,650,814,800,PS,1457,82,70,14,2,PHX,LAX,370
1987,10,14,3,654,650,820,800,PS,1457,86,70,20,4,PHX,LAX,370
1987,10,15,4,654,650,810,800,PS,1457,76,70,10,4,PHX,LAX,370
1987,10,16,5,653,650,820,800,PS,1457,87,70,20,3,PHX,LAX,370
1987,10,17,6,655,650,810,800,PS,1457,75,70,10,5,PHX,LAX,370
1987,10,19,1,656,650,824,800,PS,1457,88,70,24,6,PHX,LAX,370
1987,10,20,2,651,650,826,800,PS,1457,95,70,26,1,PHX,LAX,370
1987,10,21,3,650,650,815,800,PS,1457,85,70,15,0,PHX,LAX,370
1987,10,22,4,655,650,811,800,PS,1457,76,70,11,5,PHX,LAX,370
1987,10,23,5,654,650,811,800,PS,1457,77,70,11,4,PHX,LAX,370
1987,10,24,6,652,650,808,800,PS,1457,76,70,8,2,PHX,LAX,370
1987,10,26,1,752,750,809,800,PS,1457,77,70,9,2,PHX,LAX,370
1987,10,27,2,750,750,815,800,PS,1457,85,70,15,0,PHX,LAX,370
1987,10,28,3,746,745,800,759,PS,1457,74,74,1,1,PHX,LAX,370
1987,10,29,4,745,745,804,759,PS,1457,79,74,5,0,PHX,LAX,370
1987,10,30,5,745,745,801,759,PS,1457,76,74,2,0,PHX,LAX,370
1987,10,1,4,934,930,1044,1035,PS,1459,70,65,9,4,LAX,SFO,337
1987,10,2,5,930,930,1038,1035,PS,1459,68,65,3,0,LAX,SFO,337
1987,10,3,6,933,930,1042,1035,PS,1459,69,65,7,3,LAX,SFO,337
1987,10,4,7,931,930,1041,1035,PS,1459,70,65,6,1,LAX,SFO,337
1987,10,5,1,931,930,1032,1035,PS,1459,61,65,-3,1,LAX,SFO,337
1987,10,6,2,958,930,1107,1035,PS,1459,69,65,32,28,LAX,SFO,337
1987,10,10,6,930,930,1032,1035,PS,1459,62,65,-3,0,LAX,SFO,337
1987,10,12,1,931,930,1055,1035,PS,1459,84,65,20,1,LAX,SFO,337
1987,10,13,2,938,930,1105,1035,PS,1459,87,65,30,8,LAX,SFO,337
1987,10,14,3,942,930,1129,1035,PS,1459,107,65,54,12,LAX,SFO,337
1987,10,15,4,932,930,1039,1035,PS,1459,67,65,4,2,LAX,SFO,337
1987,10,16,5,931,930,1036,1035,PS,1459,65,65,1,1,LAX,SFO,337
1987,10,17,6,929,930,1035,1035,PS,1459,66,65,0,-1,LAX,SFO,337
1987,10,18,7,928,930,1033,1035,PS,1459,65,65,-2,-2,LAX,SFO,337
1987,10,19,1,939,930,1049,1035,PS,1459,70,65,14,9,LAX,SFO,337
1987,10,20,2,944,930,1052,1035,PS,1459,68,65,17,14,LAX,SFO,337
1987,10,21,3,932,930,1034,1035,PS,1459,62,65,-1,2,LAX,SFO,337
1987,10,22,4,929,930,1033,1035,PS,1459,64,65,-2,-1,LAX,SFO,337
1987,10,23,5,945,930,1111,1035,PS,1459,86,65,36,15,LAX,SFO,337
1987,10,24,6,931,930,1042,1035,PS,1459,71,65,7,1,LAX,SFO,337
1987,10,25,7,930,930,1033,1035,PS,1459,63,65,-2,0,LAX,SFO,337
1987,10,26,1,931,930,1046,1035,PS,1459,75,65,11,1,LAX,SFO,337
1987,10,27,2,932,930,1033,1035,PS,1459,61,65,-2,2,LAX,SFO,337
1987,10,28,3,930,930,1038,1040,PS,1459,68,70,-2,0,LAX,SFO,337
1987,10,29,4,NA,930,NA,1040,PS,1459,NA,70,NA,NA,LAX,SFO,337
1987,10,31,6,940,930,1045,1040,PS,1459,65,70,5,10,LAX,SFO,337
1987,10,1,4,1127,1120,1253,1250,PS,1459,86,90,3,7,SFO,PDX,550
1987,10,2,5,1124,1120,1252,1250,PS,1459,88,90,2,4,SFO,PDX,550
1987,10,3,6,1120,1120,1250,1250,PS,1459,90,90,0,0,SFO,PDX,550
1987,10,4,7,1120,1120,1250,1250,PS,1459,90,90,0,0,SFO,PDX,550
1987,10,5,1,1128,1120,1252,1250,PS,1459,84,90,2,8,SFO,PDX,550
1987,10,6,2,1128,1120,1254,1250,PS,1459,86,90,4,8,SFO,PDX,550
1987,10,10,6,1119,1120,1302,1250,PS,1459,103,90,12,-1,SFO,PDX,550
1987,10,12,1,1120,1120,1248,1250,PS,1459,88,90,-2,0,SFO,PDX,550
1987,10,13,2,1123,1120,1259,1250,PS,1459,96,90,9,3,SFO,PDX,550
1987,10,14,3,1153,1120,1321,1250,PS,1459,88,90,31,33,SFO,PDX,550
1987,10,15,4,1122,1120,1256,1250,PS,1459,94,90,6,2,SFO,PDX,550
1987,10,16,5,1124,1120,1254,1250,PS,1459,90,90,4,4,SFO,PDX,550
1987,10,17,6,1120,1120,1255,1250,PS,1459,95,90,5,0,SFO,PDX,550
1987,10,18,7,1120,1120,1244,1250,PS,1459,84,90,-6,0,SFO,PDX,550
1987,10,19,1,1128,1120,1259,1250,PS,1459,91,90,9,8,SFO,PDX,550
1987,10,20,2,1122,1120,1244,1250,PS,1459,82,90,-6,2,SFO,PDX,550
